dataset,n,R,metodo,tiempo
mejor-caso-BT-F,1,1,BT-F,0.000623
mejor-caso-BT-F,2,1,BT-F,0.000868
mejor-caso-BT-F,3,1,BT-F,0.000907
mejor-caso-BT-F,4,1,BT-F,0.000954
mejor-caso-BT-F,5,1,BT-F,0.000922
mejor-caso-BT-F,6,1,BT-F,0.00092
mejor-caso-BT-F,7,1,BT-F,0.000968
mejor-caso-BT-F,8,1,BT-F,0.001047
mejor-caso-BT-F,9,1,BT-F,0.001654
mejor-caso-BT-F,10,1,BT-F,0.00112
mejor-caso-BT-F,11,1,BT-F,0.001654
mejor-caso-BT-F,12,1,BT-F,0.001568
mejor-caso-BT-F,13,1,BT-F,0.001193
mejor-caso-BT-F,14,1,BT-F,0.001768
mejor-caso-BT-F,15,1,BT-F,0.001561
mejor-caso-BT-F,16,1,BT-F,0.00155
mejor-caso-BT-F,17,1,BT-F,0.001595
mejor-caso-BT-F,18,1,BT-F,0.002007
mejor-caso-BT-F,19,1,BT-F,0.001427
mejor-caso-BT-F,20,1,BT-F,0.001921
mejor-caso-BT-F,21,1,BT-F,0.00142
mejor-caso-BT-F,22,1,BT-F,0.002023
mejor-caso-BT-F,23,1,BT-F,0.00153
mejor-caso-BT-F,24,1,BT-F,0.001765
mejor-caso-BT-F,25,1,BT-F,0.001489
mejor-caso-BT-F,26,1,BT-F,0.001881
mejor-caso-BT-F,27,1,BT-F,0.001619
mejor-caso-BT-F,28,1,BT-F,0.002002
mejor-caso-BT-F,29,1,BT-F,0.002077
mejor-caso-BT-F,30,1,BT-F,0.002145
mejor-caso-BT-F,31,1,BT-F,0.002098
mejor-caso-BT-F,32,1,BT-F,0.002074
mejor-caso-BT-F,33,1,BT-F,0.002393
mejor-caso-BT-F,34,1,BT-F,0.002456
mejor-caso-BT-F,35,1,BT-F,0.002069
mejor-caso-BT-F,36,1,BT-F,0.001841
mejor-caso-BT-F,37,1,BT-F,0.002569
mejor-caso-BT-F,38,1,BT-F,0.002534
mejor-caso-BT-F,39,1,BT-F,0.001805
mejor-caso-BT-F,40,1,BT-F,0.001924
mejor-caso-BT-F,41,1,BT-F,0.002737
mejor-caso-BT-F,42,1,BT-F,0.002423
mejor-caso-BT-F,43,1,BT-F,0.002837
mejor-caso-BT-F,44,1,BT-F,0.00304
mejor-caso-BT-F,45,1,BT-F,0.002561
mejor-caso-BT-F,46,1,BT-F,0.002038
mejor-caso-BT-F,47,1,BT-F,0.00289
