dataset,n,R,metodo,tiempo
ratio-resistenciam1,1,546,BT,0.000778
ratio-resistenciam1,2,1519,BT,0.001471
ratio-resistenciam1,3,993,BT,0.000909
ratio-resistenciam1,4,2355,BT,0.001584
ratio-resistenciam1,5,2549,BT,0.00134
ratio-resistenciam1,6,2797,BT,0.001577
ratio-resistenciam1,7,3290,BT,0.002414
ratio-resistenciam1,8,5292,BT,0.002872
ratio-resistenciam1,9,4491,BT,0.003024
ratio-resistenciam1,10,5973,BT,0.003235
ratio-resistenciam1,11,6357,BT,0.006004
ratio-resistenciam1,12,5249,BT,0.00434
ratio-resistenciam1,13,7233,BT,0.006716
ratio-resistenciam1,14,6292,BT,0.006003
ratio-resistenciam1,15,7906,BT,0.010078
ratio-resistenciam1,16,8228,BT,0.011077
ratio-resistenciam1,17,9913,BT,0.01092
ratio-resistenciam1,18,8978,BT,0.014694
ratio-resistenciam1,19,6361,BT,0.01623
ratio-resistenciam1,20,10331,BT,0.01927
ratio-resistenciam1,21,8573,BT,0.021227
ratio-resistenciam1,22,11525,BT,0.025046
ratio-resistenciam1,23,13572,BT,0.029571
ratio-resistenciam1,24,14916,BT,0.023837
ratio-resistenciam1,25,12500,BT,0.020377
ratio-resistenciam1,26,13140,BT,0.035411
ratio-resistenciam1,27,10815,BT,0.04202
ratio-resistenciam1,28,11552,BT,0.04901
ratio-resistenciam1,29,14580,BT,0.063387
ratio-resistenciam1,30,13844,BT,0.090952
ratio-resistenciam1,31,14077,BT,0.052132
ratio-resistenciam1,32,15636,BT,0.071464
ratio-resistenciam1,33,19017,BT,0.090112
ratio-resistenciam1,34,16426,BT,0.087694
ratio-resistenciam1,35,18857,BT,0.083118
ratio-resistenciam1,36,16854,BT,0.09535
ratio-resistenciam1,37,14523,BT,0.083745
ratio-resistenciam1,38,23345,BT,0.084031
ratio-resistenciam1,39,21223,BT,0.169077
ratio-resistenciam1,40,21560,BT,0.200878
ratio-resistenciam1,41,23969,BT,0.185928
