dataset,n,R,metodo,tiempo
ratio-resistenciam1,1,546,BT-F,0.000697
ratio-resistenciam1,2,1519,BT-F,0.000826
ratio-resistenciam1,3,993,BT-F,0.001184
ratio-resistenciam1,4,2355,BT-F,0.001516
ratio-resistenciam1,5,2549,BT-F,0.001512
ratio-resistenciam1,6,2797,BT-F,0.002322
ratio-resistenciam1,7,3290,BT-F,0.002376
ratio-resistenciam1,8,5292,BT-F,0.003891
ratio-resistenciam1,9,4491,BT-F,0.003254
ratio-resistenciam1,10,5973,BT-F,0.003264
ratio-resistenciam1,11,6357,BT-F,0.006131
ratio-resistenciam1,12,5249,BT-F,0.003648
ratio-resistenciam1,13,7233,BT-F,0.00545
ratio-resistenciam1,14,6292,BT-F,0.007281
ratio-resistenciam1,15,7906,BT-F,0.010465
ratio-resistenciam1,16,8228,BT-F,0.014334
ratio-resistenciam1,17,9913,BT-F,0.012716
ratio-resistenciam1,18,8978,BT-F,0.014828
ratio-resistenciam1,19,6361,BT-F,0.016719
ratio-resistenciam1,20,10331,BT-F,0.015221
ratio-resistenciam1,21,8573,BT-F,0.016499
ratio-resistenciam1,22,11525,BT-F,0.039016
ratio-resistenciam1,23,13572,BT-F,0.031903
ratio-resistenciam1,24,14916,BT-F,0.025725
ratio-resistenciam1,25,12500,BT-F,0.019928
ratio-resistenciam1,26,13140,BT-F,0.041525
ratio-resistenciam1,27,10815,BT-F,0.030754
ratio-resistenciam1,28,11552,BT-F,0.089833
ratio-resistenciam1,29,14580,BT-F,0.055
ratio-resistenciam1,30,13844,BT-F,0.082931
ratio-resistenciam1,31,14077,BT-F,0.072283
ratio-resistenciam1,32,15636,BT-F,0.054714
ratio-resistenciam1,33,19017,BT-F,0.0873
ratio-resistenciam1,34,16426,BT-F,0.125378
ratio-resistenciam1,35,18857,BT-F,0.06698
ratio-resistenciam1,36,16854,BT-F,0.078037
ratio-resistenciam1,37,14523,BT-F,0.081503
ratio-resistenciam1,38,23345,BT-F,0.071635
ratio-resistenciam1,39,21223,BT-F,0.163098
ratio-resistenciam1,40,21560,BT-F,0.135831
ratio-resistenciam1,41,23969,BT-F,0.193325
ratio-resistenciam1,42,22449,BT-F,0.216702
ratio-resistenciam1,43,20813,BT-F,0.300285
ratio-resistenciam1,44,19653,BT-F,0.46513
ratio-resistenciam1,45,21676,BT-F,0.288585
ratio-resistenciam1,46,20942,BT-F,0.325809
ratio-resistenciam1,47,22698,BT-F,0.286974
ratio-resistenciam1,48,21840,BT-F,0.216337
ratio-resistenciam1,49,24219,BT-F,0.357569
ratio-resistenciam1,50,24339,BT-F,0.278795
ratio-resistenciam1,51,26141,BT-F,0.225758
ratio-resistenciam1,52,21989,BT-F,0.400288
ratio-resistenciam1,53,27069,BT-F,0.8025
ratio-resistenciam1,54,23636,BT-F,0.226387
ratio-resistenciam1,55,27305,BT-F,0.272627
ratio-resistenciam1,56,25802,BT-F,0.74658
ratio-resistenciam1,57,29423,BT-F,0.526685
ratio-resistenciam1,58,29342,BT-F,0.341107
ratio-resistenciam1,59,29932,BT-F,0.774633
ratio-resistenciam1,60,27550,BT-F,0.803773
ratio-resistenciam1,61,36328,BT-F,0.598528
ratio-resistenciam1,62,28532,BT-F,0.866414
ratio-resistenciam1,63,31172,BT-F,0.707742
ratio-resistenciam1,64,30650,BT-F,1.33446
ratio-resistenciam1,65,36777,BT-F,1.44367
ratio-resistenciam1,66,34955,BT-F,0.9682
ratio-resistenciam1,67,30908,BT-F,0.93209
ratio-resistenciam1,68,35105,BT-F,0.889527
ratio-resistenciam1,69,35520,BT-F,0.535403
ratio-resistenciam1,70,37536,BT-F,0.684335
ratio-resistenciam1,71,32705,BT-F,1.36859
ratio-resistenciam1,72,34652,BT-F,1.11498
ratio-resistenciam1,73,39425,BT-F,1.52323
ratio-resistenciam1,74,36390,BT-F,1.0391
ratio-resistenciam1,75,35046,BT-F,3.51037
ratio-resistenciam1,76,34976,BT-F,2.38299
ratio-resistenciam1,77,32748,BT-F,2.08856
ratio-resistenciam1,78,40698,BT-F,1.27534
ratio-resistenciam1,79,38862,BT-F,1.99226
ratio-resistenciam1,80,39255,BT-F,1.92743
ratio-resistenciam1,81,42348,BT-F,0.716933
ratio-resistenciam1,82,42673,BT-F,2.65804
ratio-resistenciam1,83,39684,BT-F,2.08908
ratio-resistenciam1,84,41514,BT-F,1.62079
ratio-resistenciam1,85,48682,BT-F,1.59941
ratio-resistenciam1,86,40692,BT-F,2.81787
ratio-resistenciam1,87,46389,BT-F,2.59886
ratio-resistenciam1,88,48250,BT-F,2.89737
ratio-resistenciam1,89,43950,BT-F,1.00891
ratio-resistenciam1,90,43723,BT-F,4.47893
