dataset,n,R,metodo,tiempo
todo-entra-FB,1,14,FB,0.000693
todo-entra-FB,2,143,FB,0.000905
todo-entra-FB,3,122,FB,0.001041
todo-entra-FB,4,100,FB,0.001359
todo-entra-FB,5,261,FB,0.002337
todo-entra-FB,6,332,FB,0.003244
todo-entra-FB,7,446,FB,0.003748
todo-entra-FB,8,402,FB,0.00615
todo-entra-FB,9,531,FB,0.010952
todo-entra-FB,10,546,FB,0.020204
todo-entra-FB,11,517,FB,0.040941
todo-entra-FB,12,653,FB,0.101773
todo-entra-FB,13,834,FB,0.226285
todo-entra-FB,14,707,FB,0.344856
todo-entra-FB,15,851,FB,0.702627
todo-entra-FB,16,846,FB,1.98966
todo-entra-FB,17,740,FB,3.53932
todo-entra-FB,18,849,FB,7.34956
todo-entra-FB,19,915,FB,13.6361
todo-entra-FB,20,960,FB,24.9229
todo-entra-FB,21,948,FB,43.2255
todo-entra-FB,22,1317,FB,79.3221
todo-entra-FB,23,1503,FB,143.526
todo-entra-FB,24,1036,FB,297.509
todo-entra-FB,25,1421,FB,591.322
todo-entra-FB,26,1398,FB,1153.96
todo-entra-FB,27,1301,FB,2578.53
todo-entra-FB,28,1271,FB,5062.95
todo-entra-FB,29,1876,FB,10002.6
todo-entra-FB,30,1626,FB,18686.5
nada-entra-FB,1,58,FB,0.000847
nada-entra-FB,2,53,FB,0.00095
nada-entra-FB,3,53,FB,0.00088
nada-entra-FB,4,58,FB,0.001637
nada-entra-FB,5,56,FB,0.001952
nada-entra-FB,6,56,FB,0.003377
nada-entra-FB,7,53,FB,0.00387
nada-entra-FB,8,56,FB,0.005728
nada-entra-FB,9,57,FB,0.016718
nada-entra-FB,10,50,FB,0.020572
nada-entra-FB,11,53,FB,0.038268
nada-entra-FB,12,57,FB,0.094444
nada-entra-FB,13,49,FB,0.235361
nada-entra-FB,14,52,FB,0.338572
nada-entra-FB,15,52,FB,0.742528
nada-entra-FB,16,51,FB,1.81914
nada-entra-FB,17,50,FB,2.73192
nada-entra-FB,18,51,FB,6.89707
nada-entra-FB,19,51,FB,11.9436
nada-entra-FB,20,55,FB,20.5997
nada-entra-FB,21,50,FB,48.0071
nada-entra-FB,22,50,FB,75.4877
nada-entra-FB,23,49,FB,144.588
nada-entra-FB,24,51,FB,305.482
nada-entra-FB,25,51,FB,609.481
nada-entra-FB,26,55,FB,1156.7
nada-entra-FB,27,49,FB,2292.86
nada-entra-FB,28,49,FB,4772.8
nada-entra-FB,29,49,FB,9333.89
nada-entra-FB,30,51,FB,18308.9
random-FB,1,868,FB,0.000654
random-FB,2,343,FB,0.000933
random-FB,3,493,FB,0.001092
random-FB,4,870,FB,0.001608
random-FB,5,729,FB,0.001766
random-FB,6,330,FB,0.003047
random-FB,7,180,FB,0.003916
random-FB,8,471,FB,0.008275
random-FB,9,43,FB,0.017778
random-FB,10,39,FB,0.020175
random-FB,11,886,FB,0.038966
random-FB,12,446,FB,0.101446
random-FB,13,626,FB,0.186983
random-FB,14,315,FB,0.46194
random-FB,15,711,FB,1.03246
random-FB,16,884,FB,1.66203
random-FB,17,787,FB,3.79157
random-FB,18,223,FB,6.33045
random-FB,19,690,FB,11.3232
random-FB,20,915,FB,26.1846
random-FB,21,96,FB,43.1697
random-FB,22,665,FB,83.0799
random-FB,23,816,FB,141.682
random-FB,24,471,FB,292.331
random-FB,25,847,FB,568.083
random-FB,26,892,FB,1136.57
random-FB,27,684,FB,2325.66
random-FB,28,446,FB,4603.56
random-FB,29,504,FB,9348.89
random-FB,30,363,FB,18345.6
mejor-caso-BT-F,1,1,BT-F,0.000881
mejor-caso-BT-F,2,1,BT-F,0.001365
mejor-caso-BT-F,3,1,BT-F,0.00088
mejor-caso-BT-F,4,1,BT-F,0.000892
mejor-caso-BT-F,5,1,BT-F,0.001329
mejor-caso-BT-F,6,1,BT-F,0.001268
mejor-caso-BT-F,7,1,BT-F,0.001137
